drug_name,Owner,dominant_enzyme,Internal_ID,inchi_key,smiles,molecular_weight,logP,pKa,polar_surface_area,dominant_enzyme,metabolism_type,fm_dominant,secondary_enzyme,dose_mg,AUC_ng_h_ml,Cmax_ng_ml,clearance_L_h_kg,half_life_h,inhibitor_tested_SMILES,enzyme_inhibited,AUC_fold_change,data_source
Imatinib,Shayne,CYP3A4,81,KTUFNOKKBVMGRW-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6,3,,,,,,,,,,,,,,,
Dabigatran,Shayne,Non-CYP,82,YBSJFWOBGCMAKL-UHFFFAOYSA-N,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,471.5,-2.4,,,,,,,,,,,,,,,
Zolpidem,Shayne,CYP3A4,83,ZAFYATHCZYHLPB-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,307.4,3.02,,,,,,,,,,,,,,,
Zaleplon,Shayne,CYP3A4,84,HUNXMJYCHXQEGX-UHFFFAOYSA-N,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,305.33,0.9,,,,,,,,,,,,,,,
Ramelteon,Shayne,CYP1A2,85,YLXDSYKOBKBWJQ-LBPRGKRZSA-N,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,259.34,2.4,,,,,,,,,,,,,,,
Sertraline,Shayne,CYP2C19,86,VGKDLMBJGBXTGI-SJCJKPOMSA-N,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,306.2,,,,,,,,,,,,,,,,
Bupropion,Shayne,CYP2B6,87,SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,239.74,,,,,,,,,,,,,,,,
Haloperidol,Shayne,CYP3A4,88,LNEPOXFFQSENCJ-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.9,,,,,,,,,,,,,,,,
Risperidone,Shayne,CYP2D6,89,RAPZEAPATHNIPO-UHFFFAOYSA-N,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.5,,,,,,,,,,,,,,,,
Olanzapine,Shayne,CYP1A2,90,KVWDHTXUZHCGIO-UHFFFAOYSA-N,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,312.4,,,,,,,,,,,,,,,,
Clonazepam,Shayne,CYP3A4,91,DGBIGWXXNGSACT-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,315.71,,,,,,,,,,,,,,,,
Lisinopril,Shayne,Renal,92,RLAWWYSOJDYHDC-BZSNNMDCSA-N,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,405.5,,,,,,,,,,,,,,,,
Enalapril,Shayne,Renal,93,GBXSMTUPTTWBMN-XIRDDKMYSA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,376.4,,,,,,,,,,,,,,,,
Hydrochlorothiazide,Shayne,Renal,94,JZUFKLXOESDKRF-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.7,,,,,,,,,,,,,,,,
Furosemide,Shayne,Renal,95,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.74,-0.07,,,,,,,,,,,,,,,
Digoxin,Shayne,Transporter,96,LTMHDMANZUZIPE-PUGKRICDSA-N,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,780.9,,,,,,,,,,,,,,,,
Theophylline,Shayne,CYP1A2,97,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,180.16,,,,,,,,,,,,,,,,
Clozapine,Shayne,CYP1A2,98,QZUDBNBUXVUHMW-UHFFFAOYSA-N,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.8,,,,,,,,,,,,,,,,
Carbamazepine,Shayne,CYP3A4,99,FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1c2ccccc2C=Cc2ccccc21,236.27,,,,,,,,,,,,,,,,
Topiramate,Shayne,Renal,100,KJADKKWYZYXHBB-XBWDGYHZSA-N,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,339.36,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
